player,season,season_name,salary,agency,agent,salary_amnesty,league,team,player_off_roster_13_14,id_contract_type
Al Jefferson,2014,2013-2014,13500000,Excel Sports Management,Jeff Schwartz,FALSE,nba,Bobcats,FALSE,G
Al Jefferson,2015,2014-2015,13500000,Excel Sports Management,Jeff Schwartz,FALSE,nba,Bobcats,FALSE,G
Al Jefferson,2016,2015-2016,13500000,Excel Sports Management,Jeff Schwartz,FALSE,nba,Bobcats,FALSE,PO
Anthony Tolliver,2014,2013-2014,884293,Lee Basketball Services LTD,Larry Fox,FALSE,nba,Bobcats,FALSE,G
Ben Gordon,2014,2013-2014,13200000,IAM Sports,Raymond Brothers,FALSE,nba,Bobcats,FALSE,G
Bismack Biyombo,2014,2013-2014,3049920,Wasserman Media Group,Arn Tellem,FALSE,nba,Bobcats,FALSE,G
Bismack Biyombo,2015,2014-2015,3873398,Wasserman Media Group,Arn Tellem,FALSE,nba,Bobcats,FALSE,TO
Bismack Biyombo,2016,2015-2016,5194227,Wasserman Media Group,Arn Tellem,FALSE,nba,Bobcats,FALSE,QO
Brendan Haywood,2014,2013-2014,2050000,ASM Sports,Andy Miller,FALSE,nba,Bobcats,FALSE,G
Brendan Haywood,2015,2014-2015,2213688,ASM Sports,Andy Miller,FALSE,nba,Bobcats,FALSE,G
Brendan Haywood,2016,2015-2016,10522500,ASM Sports,Andy Miller,FALSE,nba,Bobcats,FALSE,U
Cody Zeller,2014,2013-2014,3857040,Excel Sports Management,Jeff Schwartz,FALSE,nba,Bobcats,FALSE,G
Cody Zeller,2015,2014-2015,4030560,Excel Sports Management,Jeff Schwartz,FALSE,nba,Bobcats,FALSE,G
Cody Zeller,2016,2015-2016,4204200,Excel Sports Management,Jeff Schwartz,FALSE,nba,Bobcats,FALSE,TO
Cody Zeller,2017,2016-2017,5318313,Excel Sports Management,Jeff Schwartz,FALSE,nba,Bobcats,FALSE,TO
Cody Zeller,2018,2017-2018,7014855,Excel Sports Management,Jeff Schwartz,FALSE,nba,Bobcats,FALSE,QO
Gerald Henderson,2014,2013-2014,6000000,Wasserman Media Group,Arn Tellem,FALSE,nba,Bobcats,FALSE,G
Gerald Henderson,2015,2014-2015,6000000,Wasserman Media Group,Arn Tellem,FALSE,nba,Bobcats,FALSE,G
Gerald Henderson,2016,2015-2016,6000000,Wasserman Media Group,Arn Tellem,FALSE,nba,Bobcats,FALSE,PO
Jannero Pargo,2014,2013-2014,884293,Priority Sports & Entertainment,Mark Bartelstein,FALSE,nba,Bobcats,FALSE,U
Jeff Adrien,2014,2013-2014,916099,Priority Sports & Entertainment,Mark Bartelstein,FALSE,nba,Bobcats,FALSE,U
Jeffery Taylor,2014,2013-2014,788872,BDA Sports Management,Todd Ramasar,FALSE,nba,Bobcats,FALSE,G
Jeffery Taylor,2015,2014-2015,915243,BDA Sports Management,Todd Ramasar,FALSE,nba,Bobcats,FALSE,U
Jeffery Taylor,2016,2015-2016,1181348,BDA Sports Management,Todd Ramasar,FALSE,nba,Bobcats,FALSE,QO
Josh McRoberts,2014,2013-2014,2652000,BDA Sports Management,Mike Conley,FALSE,nba,Bobcats,FALSE,G
Josh McRoberts,2015,2014-2015,2771340,BDA Sports Management,Mike Conley,FALSE,nba,Bobcats,FALSE,PO
Kemba Walker,2014,2013-2014,2568360,Excel Sports Management,Jeff Schwartz,FALSE,nba,Bobcats,FALSE,G
Kemba Walker,2015,2014-2015,3272091,Excel Sports Management,Jeff Schwartz,FALSE,nba,Bobcats,FALSE,TO
Kemba Walker,2016,2015-2016,4433683,Excel Sports Management,Jeff Schwartz,FALSE,nba,Bobcats,FALSE,QO
Michael Kidd-Gilchrist,2014,2013-2014,4809840,Creative Artists Agency,Leon Rose,FALSE,nba,Bobcats,FALSE,G
Michael Kidd-Gilchrist,2015,2014-2015,5016960,Creative Artists Agency,Leon Rose,FALSE,nba,Bobcats,FALSE,TO
Michael Kidd-Gilchrist,2016,2015-2016,6331404,Creative Artists Agency,Leon Rose,FALSE,nba,Bobcats,FALSE,TO
Michael Kidd-Gilchrist,2017,2016-2017,8262482,Creative Artists Agency,Leon Rose,FALSE,nba,Bobcats,FALSE,QO
Ramon Sessions,2014,2013-2014,5000000,Allegiant Athletic Agency,Jared Karnes,FALSE,nba,Bobcats,FALSE,G
Brandon Knight,2014,2013-2014,2793960,Wasserman Media Group,Arn Tellem,FALSE,nba,Bucks,FALSE,G
Brandon Knight,2015,2014-2015,3553917,Wasserman Media Group,Arn Tellem,FALSE,nba,Bucks,FALSE,TO
Brandon Knight,2016,2015-2016,4790680,Wasserman Media Group,Arn Tellem,FALSE,nba,Bucks,FALSE,QO
Carlos Delfino,2014,2013-2014,3250000,ASM Sports,Andy Miller,FALSE,nba,Bucks,FALSE,G
Carlos Delfino,2015,2014-2015,3250000,ASM Sports,Andy Miller,FALSE,nba,Bucks,FALSE,G
Carlos Delfino,2016,2015-2016,3250000,ASM Sports,Andy Miller,FALSE,nba,Bucks,FALSE,U
Caron Butler,2014,2013-2014,8000000,IAM Sports,Raymond Brothers,FALSE,nba,Bucks,FALSE,G
