CombineYear,DraftYear,Player,Position,DBPediaCollege_Name,DBPediaURI_College,Conference,Division,gradeNFL,Height.numeric,Weight,fortyYardDash,benchPress,verticalJump,broadJump,twentyYardShuttle,threeConeDrill,Wonderlic
1970,1970,Terry Bradshaw,QB,Louisiana Tech University,http://live.dbpedia.org/resource/Louisiana_Tech_University,Western Athletic Conference,Division I,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
1977,1977,Vince Evans,QB,University of Southern California,http://live.dbpedia.org/resource/University_of_Southern_California,Pacific-12 Conference,Division I,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
1983,1983,John Elway,QB,Stanford University,http://live.dbpedia.org/resource/Stanford_University,Pacific-12 Conference,Division I,NA,NA,NA,NA,NA,NA,NA,NA,NA,29
1983,1983,Jim Kelly,QB,University of Miami,http://live.dbpedia.org/resource/University_of_Miami,Atlantic Coast Conference,Division I,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
1983,1983,Dan Marino,QB,University of Pittsburgh,http://live.dbpedia.org/resource/University_of_Pittsburgh,Big East Conference,Division I,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
1984,1984,Steve Young,QB,Brigham Young University,http://live.dbpedia.org/resource/Brigham_Young_University,I-A Independent,Division I,NA,NA,NA,NA,NA,NA,NA,NA,NA,33
1985,1985,Randall Cunningham,QB,"University of Nevada, Las Vegas",http://live.dbpedia.org/resource/UNLV_Rebels,Mountain West Conference,Division I,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
1986,1986,Hugh Millen,QB,University of Washington,http://live.dbpedia.org/resource/University_of_Washington,Pacific-12 Conference,Division I,NA,NA,NA,NA,NA,NA,NA,NA,NA,41
1987,1987,Kelly Stouffer,QB,Colorado State University,http://live.dbpedia.org/resource/Colorado_State_University,Mountain West Conference,Division I,NA,NA,NA,NA,NA,NA,NA,NA,NA,27
1987,1987,Rich Gannon,QB,University of Delaware,http://live.dbpedia.org/resource/University_of_Delaware,Colonial Conference,Division I-AA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27
1987,1987,Vinny Testaverde,QB,University of Miami,http://live.dbpedia.org/resource/University_of_Miami,Atlantic Coast Conference,Division I,NA,NA,NA,NA,NA,NA,NA,NA,NA,17
1987,1987,Chris Miller,QB,University of Oregon,http://live.dbpedia.org/resource/University_of_Oregon,Pacific-12 Conference,Division I,NA,NA,NA,NA,NA,NA,NA,NA,NA,22
1987,1987,Don Makowski,QB,University of Virginia,http://live.dbpedia.org/resource/University_of_Virginia,Atlantic Coast Conference,Division I,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
1989,1989,Anthony Dilweg,QB,Duke University,http://live.dbpedia.org/resource/Duke_University,Atlantic Coast Conference,Division I,NA,NA,NA,NA,NA,NA,NA,NA,NA,36
1989,1989,Jason Garrett,QB,Princeton University,http://live.dbpedia.org/resource/Princeton_University,Ivy League,Division I-AA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36
