,DraftYear,Player,College.Univ,Pos,Height.inches,Weight,Wonderlic,Forty.Yard.Dash,Bench.225.Reps,Vert.Leap.inches,Broad.Jump.inches,Shuttle,X3Cone,Forty.Timed.Outside.Combine,Bench.Pressed.Weight,Benched.to.Weight,Player.Height,Player.Vertical,Player.Broad.Jump
1,2010,A.J. Edds,Iowa,OLB,76,246,NA,4.62,16,33,117,4.28,7.19,FALSE,3600,14.63414634,6.3333308,2.7499989,9.7499961
2,2011,A.J. Green,Georgia,WR,76,211,NA,4.48,18,34.5,126,4.21,6.91,FALSE,4050,19.1943128,6.3333308,2.87499885,10.4999958
3,2012,A.J. Greene,Auburn,OT,77,298,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,6.4166641,NA,NA
4,2006,A.J. Hawk,Ohio State,OLB,73,248,NA,4.59,24,40,115,3.96,6.82,FALSE,5400,21.77419355,6.0833309,3.333332,9.5833295
5,2010,A.J. Jefferson,Fresno State,CB,73,193,NA,4.42,7,44,126,4,6.72,FALSE,1575,8.160621762,6.0833309,3.6666652,10.4999958
6,2012,A.J. Jenkins,Illinois,WR,72,190,NA,4.39,12,38,124,NA,NA,FALSE,2700,14.21052632,5.9999976,3.1666654,10.3333292
7,2013,A.J. Klein,Iowa State,ILB,73,250,NA,4.66,20,NA,113,NA,NA,TRUE,4500,18,6.0833309,NA,9.4166629
8,2006,A.J. Nicholson,Florida State,OLB,73,252,NA,4.88,25,NA,116,4.46,7.37,FALSE,5625,22.32142857,6.0833309,NA,9.6666628
9,2009,A.Q. Shipley,Penn State,C,73,304,NA,5.19,33,31,100,4.4,7.46,FALSE,7425,24.42434211,6.0833309,2.5833323,8.33333
10,1999,Aaron Brooks,Virginia,QB,76,203,17,4.6,NA,35.5,120,4.29,7.52,FALSE,NA,NA,6.3333308,2.95833215,9.999996
11,2012,Aaron Corp,Richmond,QB,76,215,NA,4.72,NA,31.5,106,4.3,7.03,FALSE,NA,NA,6.3333308,2.62499895,8.8333298
12,2009,Aaron Curry,Wake Forest,OLB,74,254,NA,4.52,25,37,124,4.51,7.15,FALSE,5625,22.14566929,6.1666642,3.0833321,10.3333292
13,1999,Aaron Dalan,University of Washington,OT,80,328,NA,5.24,23,23.5,99,4.61,8.03,FALSE,5175,15.77743902,6.666664,1.95833255,8.2499967
14,2007,Aaron Fairooz,Central Arkansas,WR,78,209,NA,4.49,NA,36,125,4.27,6.89,FALSE,NA,NA,6.4999974,2.9999988,10.4166625
15,2000,Aaron Fields,Troy,DE,76,243,NA,4.76,22,34,115,4.56,7.51,FALSE,4950,20.37037037,6.3333308,2.8333322,9.5833295
16,2005,Aaron Francisco,Brigham Young,FS,74,211,NA,4.74,17,35,113,4.13,6.98,FALSE,3825,18.12796209,6.1666642,2.9166655,9.4166629
17,1999,Aaron Gibson,Wisconsin,OT,78,386,NA,5.35,31,24,111,4.54,7.99,FALSE,6975,18.06994819,6.4999974,1.9999992,9.2499963
18,2013,Aaron Hester,UCLA,CB,74,198,NA,4.62,NA,29,112,4.33,7.26,TRUE,NA,NA,6.1666642,2.4166657,9.3333296
19,2000,Aaron Humphrey,University of Texas,DE,75,254,NA,5.1,21,34,119,NA,NA,FALSE,4725,18.6023622,6.2499975,2.8333322,9.9166627
20,2003,Aaron Hunt,Texas Tech,DE,75,262,NA,4.86,24,30,106,4.52,7.68,FALSE,5400,20.61068702,6.2499975,2.499999,8.8333298
21,2009,Aaron Kelly,Clemson,WR,77,204,NA,4.49,11,38,119,4.45,7.25,FALSE,2475,12.13235294,6.4166641,3.1666654,9.9166627
22,2002,Aaron Lockett,Kansas State,WR,68,155,NA,4.31,NA,35,119,4.11,6.84,FALSE,NA,NA,5.6666644,2.9166655,9.9166627
23,2009,Aaron Maybin,Penn State,DE,76,249,NA,4.78,22,38,124,4.38,7.52,FALSE,4950,19.87951807,6.3333308,3.1666654,10.3333292
24,2013,Aaron Mellette,Elon,WR,75,217,NA,4.54,9,33.5,123,4.41,7.11,TRUE,2025,9.331797235,6.2499975,2.79166555,10.2499959
25,2005,Aaron Rodgers,California,QB,74,223,39,4.71,NA,34.5,110,NA,7.39,FALSE,NA,NA,6.1666642,2.87499885,9.166663
26,2007,Aaron Ross,University of Texas,CB,73,193,NA,4.44,17,34,118,4.15,6.72,FALSE,3825,19.81865285,6.0833309,2.8333322,9.8333294
27,2007,Aaron Rouse,Virginia Tech,SS,76,223,NA,4.58,16,35,NA,NA,NA,FALSE,3600,16.14349776,6.3333308,2.9166655,NA
28,2001,Aaron Schobel,Texas Christian University,DE,76,263,NA,4.75,NA,38,119,4.03,7.16,TRUE,NA,NA,6.3333308,3.1666654,9.9166627
29,2000,Aaron Shea,Michigan,FB,76,253,NA,4.81,NA,37.5,114,4.3,6.72,FALSE,NA,NA,6.3333308,3.12499875,9.4999962
30,2002,Aaron Smith,Wagner,QB,NA,NA,27,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
31,1999,Aaron Smith,Northern Colorado,DE,77,279,NA,5.06,19,29.5,110,4.34,7.48,FALSE,4275,15.32258065,6.4166641,2.45833235,9.166663
32,1999,Aaron Stecker,Western Illinois,RB,70,210,NA,4.84,23,32.5,113,4.17,7,FALSE,5175,24.64285714,5.833331,2.70833225,9.4166629
33,2003,Aaron Walker,Florida,TE,78,252,NA,4.72,24,33.5,115,4.3,7.57,FALSE,5400,21.42857143,6.4999974,2.79166555,9.5833295
34,2011,Aaron Williams,University of Texas,CB,73,204,NA,4.55,18,37.5,127,4.07,6.72,FALSE,4050,19.85294118,6.0833309,3.12499875,10.5833291
35,1999,Aaron Williams,Indiana,DE,77,253,NA,4.79,19,33.5,108,4.34,7.7,FALSE,4275,16.8972332,6.4166641,2.79166555,8.9999964
36,2002,Abdual Howard,Florida State,SS,73,209,NA,4.64,NA,NA,120,NA,NA,FALSE,NA,NA,6.0833309,NA,9.999996
37,2006,Abdul Hodge,Iowa,ILB,73,236,NA,4.76,NA,31,108,4.35,7.11,FALSE,NA,NA,6.0833309,2.5833323,8.9999964
38,2005,Abraham Elimimian,Hawaii,CB,70,190,NA,4.62,14,39,121,4.05,NA,FALSE,3150,16.57894737,5.833331,3.2499987,10.0833293
39,2007,Abraham Wright,Colorado,DE,74,242,NA,4.9,24,31,111,4.46,7.2,FALSE,5400,22.31404959,6.1666642,2.5833323,9.2499963
40,2013,Abry Jones,Georgia,DT,75,313,NA,5.06,30,26.5,101,NA,NA,TRUE,6750,21.56549521,6.2499975,2.20833245,8.4166633
41,2013,Ace Sanders,South Carolina,WR,67,173,NA,4.58,7,32,117,4.37,6.81,TRUE,1575,9.104046243,5.5833311,2.6666656,9.7499961
42,2000,Adalius Thomas,Southern Mississippi,DE,75,270,NA,4.56,NA,38.5,120,4.42,NA,FALSE,NA,NA,6.2499975,3.20833205,9.999996
43,2001,Adam Archuleta,Arizona State,SS,73,211,NA,4.46,31,NA,NA,NA,NA,TRUE,6975,33.05687204,6.0833309,NA,NA
44,2005,Adam Bergen,Lehigh,TE,77,259,NA,4.78,25,38,121,4.11,7.12,FALSE,5625,21.71814672,6.4166641,3.1666654,10.0833293
45,2008,Adam Bishop,Nevada,TE,77,248,NA,4.98,21,27,113,4.28,7.14,FALSE,4725,19.05241935,6.4166641,2.2499991,9.4166629
46,2007,Adam Carriker,Nebraska,DE,78,296,NA,4.9,33,33.5,110,4.18,7.06,FALSE,7425,25.08445946,6.4999974,2.79166555,9.166663
47,2000,Adam Davis,Oklahoma State,OG,76,309,NA,5.66,NA,26,92,5,8.51,FALSE,NA,NA,6.3333308,2.1666658,7.6666636
48,2012,Adam Gettis,Iowa,OG,74,293,NA,5,NA,31,112,4.65,7.99,FALSE,NA,NA,6.1666642,2.5833323,9.3333296
