"","player_id","actual_name","player","probowler","all_pro","probowl_seasons","all_pro_seasons","position_type","positon_location","death_year","deathdate","death_location","death_age","height_inches","height","weight","throwing_hand","college","draft_team","draft_year","draft_round","draft_pick","era_name","birthdate","birth_location","birth_year"
"1","WaldRa20","Ralph George Waldsmith","Ralph Waldsmith","FALSE","FALSE",NA,NA,"OL","O",1925,"6/7/25","Wilkes-Barre, PA",32,69,"5'9","225","","Akron","",NA,NA,NA,"pre-1940","1892-08-07","Akron, OH",1892
"2","StorJa20","John Waddell Storer Jr.","Jack Storer","FALSE","FALSE",NA,NA,"RB/FB","O",1927,"1/16/27","Wheeling, WV",26,70,"5'10","180","","Lehigh","",NA,NA,NA,"pre-1940","1900-11-11","Wheeling, WV",1900
"3","UsheLo20","Louis Childs Usher","Lou Usher","FALSE","FALSE",NA,NA,"OL","O",1927,"1/1/27","Chicago, IL",29,74,"6'2","240","","Detroit Mercy","",NA,NA,NA,"pre-1940","1897-06-27","Chicago, IL",1897
"4","OConMi20","Milton Timothy O'Connell","Milt O'Connell","FALSE","FALSE",NA,NA,"TE","O",1928,"5/18/28","Wilmington, DE",27,72,"6'0","175","","Lafayette","",NA,NA,NA,"pre-1940","1900-11-12","Nutley, NJ",1900
"5","WeldBo20","John Ambrose Weldon","Bodie Weldon","FALSE","FALSE",NA,NA,"WR","O",1928,"8/24/28","Columbus, OH",32,67,"5'7","165","","Lafayette","",NA,NA,NA,"pre-1940","1895-11-07","Watertown, NY",1895
"6","KingDi20","Richard Stewart Cutter King","Dick King","FALSE","FALSE",NA,NA,"RB/FB","O",1930,"10/16/30","Bogota, Colombia",35,68,"5'8","175","","Harvard","",NA,NA,NA,"pre-1940","1895-02-09","Boston, MA",1895
"7","SamsSe20","Seneca Gadsden Samson","Seneca Samson","FALSE","FALSE",NA,NA,"RB/FB","O",1930,"4/2/30","Wakefield, RI",30,68,"5'8","160","","Brown","",NA,NA,NA,"pre-1940","1899-11-10","New York, NY",1899
"8","KellWi20","William Carl Kelly","Wild Bill Kelly","FALSE","FALSE",NA,NA,"RB/FB","O",1931,"11/14/31","New York, NY",26,70,"5'10","184","","Montana","",NA,NA,NA,"pre-1940","6/24/05","Denver, CO",1905
"9","NessJo20","John Nesser","John Nesser","FALSE","FALSE",NA,NA,"OL","O",1931,"7/29/31","Columbus, OH",55,71,"5'11","195","","none","",NA,NA,NA,"pre-1940","1876-04-25","Triere, Germany",1876
"10","OlivBi20","William Seth Oliver Jr.","Bill Oliver","FALSE","FALSE",NA,NA,"OL","O",1932,"5/6/32","Panola, AL",30,71,"5'11","180","","Alabama","",NA,NA,NA,"pre-1940","1902-02-16","Panola, AL",1902
